시작일,종료일,직업,직업코드,분류단계,AI 사용 비율(%)
2026-04-01,2026-05-01,Social Science Research Assistants,19-4061.00,0,0.14
2026-04-01,2026-05-01,Investment Fund Managers,11-3031.03,0,0.14
2026-04-01,2026-05-01,Database Administrators,15-1242.00,0,0.14
2026-05-01,2026-06-01,"Securities, Commodities, and Financial Services Sales Agents",41-3031.00,0,0.14
2026-05-01,2026-06-01,Investment Fund Managers,11-3031.03,0,0.14
2026-05-01,2026-06-01,Social Science Research Assistants,19-4061.00,0,0.14
2026-04-01,2026-05-01,"Securities, Commodities, and Financial Services Sales Agents",41-3031.00,0,0.14
2026-04-01,2026-05-01,Sociologists,19-3041.00,0,0.14
2026-04-01,2026-05-01,"Environmental Scientists and Specialists, Including Health",19-2041.00,0,0.14
2026-04-01,2026-05-01,Database Architects,15-1243.00,0,0.14
2026-05-01,2026-06-01,Sociologists,19-3041.00,0,0.14
2026-05-01,2026-06-01,Database Administrators,15-1242.00,0,0.14
2026-04-01,2026-05-01,"Fine Artists, Including Painters, Sculptors, and Illustrators",27-1013.00,0,0.14
2026-04-01,2026-05-01,"Transportation, Storage, and Distribution Managers",11-3071.00,0,0.14
2026-05-01,2026-06-01,Craft Artists,27-1012.00,0,0.14
2026-05-01,2026-06-01,Database Architects,15-1243.00,0,0.14
2026-04-01,2026-05-01,Waiters and Waitresses,35-3031.00,0,0.14
2026-05-01,2026-06-01,Building and Grounds Cleaning and Maintenance,37,1,0.13
2026-04-01,2026-05-01,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-9061.00,0,0.13
2026-05-01,2026-06-01,Biomass Power Plant Managers,11-3051.04,0,0.13
2026-04-01,2026-05-01,Molecular and Cellular Biologists,19-1029.02,0,0.13
2026-04-01,2026-05-01,Advertising Sales Agents,41-3011.00,0,0.13
2026-04-01,2026-05-01,Administrative Services Managers,11-3012.00,0,0.13
2026-05-01,2026-06-01,Food Service Managers,11-9051.00,0,0.13
2026-04-01,2026-05-01,Building and Grounds Cleaning and Maintenance,37,1,0.13
2026-05-01,2026-06-01,Molecular and Cellular Biologists,19-1029.02,0,0.13
2026-05-01,2026-06-01,"Environmental Scientists and Specialists, Including Health",19-2041.00,0,0.13
2026-04-01,2026-05-01,Pharmacists,29-1051.00,0,0.13
2026-05-01,2026-06-01,Training and Development Specialists,13-1151.00,0,0.13
2026-04-01,2026-05-01,Information Security Engineers,15-1299.05,0,0.13
2026-04-01,2026-05-01,Medical Dosimetrists,29-2036.00,0,0.13
2026-05-01,2026-06-01,Advertising Sales Agents,41-3011.00,0,0.13
2026-04-01,2026-05-01,Training and Development Specialists,13-1151.00,0,0.13
2026-04-01,2026-05-01,Manufacturing Engineers,17-2112.03,0,0.12
2026-04-01,2026-05-01,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011.00,0,0.12
2026-04-01,2026-05-01,Food Service Managers,11-9051.00,0,0.12
2026-05-01,2026-06-01,Remote Sensing Scientists and Technologists,19-2099.01,0,0.12
2026-05-01,2026-06-01,Information Security Engineers,15-1299.05,0,0.12
2026-05-01,2026-06-01,Manufacturing Engineers,17-2112.03,0,0.12
2026-05-01,2026-06-01,"Meeting, Convention, and Event Planners",13-1121.00,0,0.12
2026-05-01,2026-06-01,"Biological Science Teachers, Postsecondary",25-1042.00,0,0.12
2026-05-01,2026-06-01,Compliance Officers,13-1041.00,0,0.12
2026-05-01,2026-06-01,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011.00,0,0.12
